combination_id,instance_name,gamma,k,mcts_budget,mcts_exploration_const,mcts_max_depth,lns_repair_depth,stagnation_iter,lns_rcl_alpha,avg_solution_size,max_solution_size,avg_solution_density,max_solution_density,avg_run_time_seconds,min_run_time_seconds,max_run_time_seconds,timeout_count,total_runs
1,brock200_4.clq,0.85,39,1000,1.414,10,10,1000,1.0,39.00,39,0.8509,0.8516,20.63,8.25,33.01,0,2
1,p_hat300-3.clq,0.85,180,1000,1.414,10,10,1000,1.0,180.00,180,0.8502,0.8503,0.04,0.04,0.04,0,2
1,brock400_2.clq,0.85,100,1000,1.414,10,10,1000,1.0,100.00,100,0.8432,0.8453,60.14,60.01,60.27,2,2
1,brock400_4.clq,0.85,102,1000,1.414,10,10,1000,1.0,102.00,102,0.8466,0.8474,60.23,60.17,60.29,2,2
1,p_hat700-1.clq,0.85,19,1000,1.414,10,10,1000,1.0,19.00,19,0.8246,0.8538,33.08,6.13,60.02,1,2
1,p_hat700-2.clq,0.85,223,1000,1.414,10,10,1000,1.0,223.00,223,0.8501,0.8501,0.28,0.28,0.28,0,2
1,p_hat700-3.clq,0.85,430,1000,1.414,10,10,1000,1.0,430.00,430,0.8502,0.8504,0.43,0.43,0.43,0,2
1,p_hat1500-2.clq,0.85,487,1000,1.414,10,10,1000,1.0,487.00,487,0.8501,0.8501,2.55,2.52,2.57,0,2
1,p_hat1500-3.clq,0.85,943,1000,1.414,10,10,1000,1.0,943.00,943,0.8500,0.8500,4.02,3.98,4.06,0,2
1,keller5.clq,0.85,286,1000,1.414,10,10,1000,1.0,286.00,286,0.8491,0.8493,60.24,60.07,60.41,2,2
1,p_hat300-2.clq,0.95,41,1000,1.414,10,10,1000,1.0,41.00,41,0.9500,0.9500,0.74,0.04,1.44,0,2
1,brock200_2.clq,0.95,13,1000,1.414,10,10,1000,1.0,13.00,13,0.9615,0.9615,13.84,7.10,20.58,0,2
1,hamming8-4.clq,0.95,17,1000,1.414,10,10,1000,1.0,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
1,keller4.clq,0.95,15,1000,1.414,10,10,1000,1.0,15.00,15,0.9619,0.9619,1.30,0.97,1.62,0,2
1,brock200_4.clq,0.95,21,1000,1.414,10,10,1000,1.0,21.00,21,0.9500,0.9524,44.13,28.15,60.10,1,2
1,p_hat1500-3.clq,0.95,351,1000,1.414,10,10,1000,1.0,351.00,351,0.9500,0.9500,2.26,2.21,2.31,0,2
1,keller5.clq,0.95,47,1000,1.414,10,10,1000,1.0,47.00,47,0.9463,0.9463,62.15,60.06,64.23,2,2
2,brock200_4.clq,0.85,39,1000,1.414,10,10,1000,0.85,39.00,39,0.8502,0.8502,27.92,1.44,54.40,0,2
2,p_hat300-3.clq,0.85,180,1000,1.414,10,10,1000,0.85,180.00,180,0.8502,0.8503,0.04,0.04,0.04,0,2
2,brock400_2.clq,0.85,100,1000,1.414,10,10,1000,0.85,100.00,100,0.8447,0.8455,60.17,60.02,60.33,2,2
2,brock400_4.clq,0.85,102,1000,1.414,10,10,1000,0.85,102.00,102,0.8465,0.8472,60.39,60.16,60.63,2,2
2,p_hat700-1.clq,0.85,19,1000,1.414,10,10,1000,0.85,19.00,19,0.8275,0.8538,46.96,31.51,62.42,1,2
2,p_hat700-2.clq,0.85,223,1000,1.414,10,10,1000,0.85,223.00,223,0.8501,0.8501,0.27,0.27,0.27,0,2
2,p_hat700-3.clq,0.85,430,1000,1.414,10,10,1000,0.85,430.00,430,0.8502,0.8504,0.42,0.41,0.42,0,2
2,p_hat1500-2.clq,0.85,487,1000,1.414,10,10,1000,0.85,487.00,487,0.8501,0.8501,2.49,2.48,2.49,0,2
2,p_hat1500-3.clq,0.85,943,1000,1.414,10,10,1000,0.85,943.00,943,0.8500,0.8500,3.91,3.90,3.92,0,2
2,keller5.clq,0.85,286,1000,1.414,10,10,1000,0.85,286.00,286,0.8493,0.8493,61.35,60.53,62.17,2,2
2,p_hat300-2.clq,0.95,41,1000,1.414,10,10,1000,0.85,41.00,41,0.9500,0.9500,2.88,0.04,5.71,0,2
2,brock200_2.clq,0.95,13,1000,1.414,10,10,1000,0.85,13.00,13,0.9615,0.9615,15.20,2.28,28.12,0,2
2,hamming8-4.clq,0.95,17,1000,1.414,10,10,1000,0.85,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
2,keller4.clq,0.95,15,1000,1.414,10,10,1000,0.85,15.00,15,0.9524,0.9524,7.34,7.00,7.68,0,2
2,brock200_4.clq,0.95,21,1000,1.414,10,10,1000,0.85,21.00,21,0.9524,0.9524,4.85,2.25,7.45,0,2
2,p_hat1500-3.clq,0.95,351,1000,1.414,10,10,1000,0.85,351.00,351,0.9500,0.9500,2.24,2.18,2.29,0,2
2,keller5.clq,0.95,47,1000,1.414,10,10,1000,0.85,47.00,47,0.9454,0.9454,60.06,60.06,60.06,2,2
3,brock200_4.clq,0.85,39,1000,1.414,10,30,1000,1.0,39.00,39,0.8516,0.8529,40.60,30.80,50.39,0,2
3,p_hat300-3.clq,0.85,180,1000,1.414,10,30,1000,1.0,180.00,180,0.8502,0.8503,0.04,0.04,0.04,0,2
3,brock400_2.clq,0.85,100,1000,1.414,10,30,1000,1.0,100.00,100,0.8446,0.8453,60.22,60.02,60.41,2,2
3,brock400_4.clq,0.85,102,1000,1.414,10,30,1000,1.0,102.00,102,0.8461,0.8472,60.46,60.39,60.53,2,2
3,p_hat700-1.clq,0.85,19,1000,1.414,10,30,1000,1.0,19.00,19,0.8363,0.8538,34.30,6.59,62.01,1,2
3,p_hat700-2.clq,0.85,223,1000,1.414,10,30,1000,1.0,223.00,223,0.8501,0.8501,0.28,0.28,0.28,0,2
3,p_hat700-3.clq,0.85,430,1000,1.414,10,30,1000,1.0,430.00,430,0.8502,0.8504,0.42,0.42,0.42,0,2
3,p_hat1500-2.clq,0.85,487,1000,1.414,10,30,1000,1.0,487.00,487,0.8501,0.8501,2.52,2.48,2.55,0,2
3,p_hat1500-3.clq,0.85,943,1000,1.414,10,30,1000,1.0,943.00,943,0.8500,0.8500,3.91,3.89,3.94,0,2
3,keller5.clq,0.85,286,1000,1.414,10,30,1000,1.0,286.00,286,0.8493,0.8493,61.27,60.06,62.49,2,2
3,p_hat300-2.clq,0.95,41,1000,1.414,10,30,1000,1.0,41.00,41,0.9500,0.9500,2.31,0.04,4.59,0,2
3,brock200_2.clq,0.95,13,1000,1.414,10,30,1000,1.0,13.00,13,0.9615,0.9615,18.29,9.53,27.06,0,2
3,hamming8-4.clq,0.95,17,1000,1.414,10,30,1000,1.0,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
3,keller4.clq,0.95,15,1000,1.414,10,30,1000,1.0,15.00,15,0.9571,0.9619,0.91,0.50,1.33,0,2
3,brock200_4.clq,0.95,21,1000,1.414,10,30,1000,1.0,21.00,21,0.9500,0.9524,35.33,10.30,60.35,1,2
3,p_hat1500-3.clq,0.95,351,1000,1.414,10,30,1000,1.0,351.00,351,0.9500,0.9500,2.22,2.17,2.28,0,2
3,keller5.clq,0.95,47,1000,1.414,10,30,1000,1.0,47.00,47,0.9459,0.9463,65.09,60.07,70.11,2,2
4,brock200_4.clq,0.85,39,1000,1.414,10,30,1000,0.85,39.00,39,0.8502,0.8502,11.16,1.76,20.56,0,2
4,p_hat300-3.clq,0.85,180,1000,1.414,10,30,1000,0.85,180.00,180,0.8502,0.8503,0.04,0.04,0.04,0,2
4,brock400_2.clq,0.85,100,1000,1.414,10,30,1000,0.85,100.00,100,0.8447,0.8455,60.38,60.02,60.74,2,2
4,brock400_4.clq,0.85,102,1000,1.414,10,30,1000,0.85,102.00,102,0.8460,0.8472,60.73,60.18,61.28,2,2
4,p_hat700-1.clq,0.85,19,1000,1.414,10,30,1000,0.85,19.00,19,0.8363,0.8538,34.15,8.04,60.26,1,2
4,p_hat700-2.clq,0.85,223,1000,1.414,10,30,1000,0.85,223.00,223,0.8501,0.8501,0.29,0.28,0.29,0,2
4,p_hat700-3.clq,0.85,430,1000,1.414,10,30,1000,0.85,430.00,430,0.8502,0.8504,0.42,0.42,0.43,0,2
4,p_hat1500-2.clq,0.85,487,1000,1.414,10,30,1000,0.85,487.00,487,0.8501,0.8501,2.53,2.53,2.53,0,2
4,p_hat1500-3.clq,0.85,943,1000,1.414,10,30,1000,0.85,943.00,943,0.8500,0.8500,3.98,3.96,3.99,0,2
4,keller5.clq,0.85,286,1000,1.414,10,30,1000,0.85,286.00,286,0.8492,0.8493,67.57,65.02,70.12,2,2
4,p_hat300-2.clq,0.95,41,1000,1.414,10,30,1000,0.85,41.00,41,0.9500,0.9500,6.22,0.03,12.40,0,2
4,brock200_2.clq,0.95,13,1000,1.414,10,30,1000,0.85,13.00,13,0.9615,0.9615,12.62,11.63,13.61,0,2
4,hamming8-4.clq,0.95,17,1000,1.414,10,30,1000,0.85,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
4,keller4.clq,0.95,15,1000,1.414,10,30,1000,0.85,15.00,15,0.9619,0.9619,1.61,0.56,2.66,0,2
4,brock200_4.clq,0.95,21,1000,1.414,10,30,1000,0.85,21.00,21,0.9548,0.9571,8.12,5.53,10.71,0,2
4,p_hat1500-3.clq,0.95,351,1000,1.414,10,30,1000,0.85,351.00,351,0.9500,0.9500,2.25,2.20,2.31,0,2
4,keller5.clq,0.95,47,1000,1.414,10,30,1000,0.85,47.00,47,0.9468,0.9482,63.88,61.13,66.64,2,2
5,brock200_4.clq,0.85,39,1000,1.414,30,10,1000,1.0,39.00,39,0.8502,0.8502,2.94,2.52,3.35,0,2
5,p_hat300-3.clq,0.85,180,1000,1.414,30,10,1000,1.0,180.00,180,0.8502,0.8503,0.04,0.04,0.04,0,2
5,brock400_2.clq,0.85,100,1000,1.414,30,10,1000,1.0,100.00,100,0.8475,0.8483,60.22,60.02,60.42,2,2
5,brock400_4.clq,0.85,102,1000,1.414,30,10,1000,1.0,102.00,102,0.8474,0.8476,60.63,60.01,61.25,2,2
5,p_hat700-1.clq,0.85,19,1000,1.414,30,10,1000,1.0,19.00,19,0.7573,0.7719,63.44,63.26,63.62,2,2
5,p_hat700-2.clq,0.85,223,1000,1.414,30,10,1000,1.0,223.00,223,0.8501,0.8501,0.28,0.28,0.28,0,2
5,p_hat700-3.clq,0.85,430,1000,1.414,30,10,1000,1.0,430.00,430,0.8502,0.8504,0.43,0.43,0.44,0,2
5,p_hat1500-2.clq,0.85,487,1000,1.414,30,10,1000,1.0,487.00,487,0.8501,0.8501,2.51,2.49,2.53,0,2
5,p_hat1500-3.clq,0.85,943,1000,1.414,30,10,1000,1.0,943.00,943,0.8500,0.8500,3.94,3.93,3.95,0,2
5,keller5.clq,0.85,286,1000,1.414,30,10,1000,1.0,286.00,286,0.8493,0.8493,60.93,60.06,61.81,2,2
5,p_hat300-2.clq,0.95,41,1000,1.414,30,10,1000,1.0,41.00,41,0.9500,0.9500,0.86,0.04,1.69,0,2
5,brock200_2.clq,0.95,13,1000,1.414,30,10,1000,1.0,13.00,13,0.9615,0.9615,26.71,12.63,40.78,0,2
5,hamming8-4.clq,0.95,17,1000,1.414,30,10,1000,1.0,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
5,keller4.clq,0.95,15,1000,1.414,30,10,1000,1.0,15.00,15,0.9571,0.9619,3.61,3.20,4.02,0,2
5,brock200_4.clq,0.95,21,1000,1.414,30,10,1000,1.0,21.00,21,0.9548,0.9571,2.83,0.84,4.83,0,2
5,p_hat1500-3.clq,0.95,351,1000,1.414,30,10,1000,1.0,351.00,351,0.9500,0.9500,2.24,2.18,2.30,0,2
5,keller5.clq,0.95,47,1000,1.414,30,10,1000,1.0,47.00,47,0.9473,0.9473,60.71,60.24,61.17,2,2
6,brock200_4.clq,0.85,39,1000,1.414,30,10,1000,0.85,39.00,39,0.8502,0.8502,6.07,0.94,11.20,0,2
6,p_hat300-3.clq,0.85,180,1000,1.414,30,10,1000,0.85,180.00,180,0.8502,0.8503,0.04,0.04,0.04,0,2
6,brock400_2.clq,0.85,100,1000,1.414,30,10,1000,0.85,100.00,100,0.8347,0.8354,60.58,60.41,60.75,2,2
6,brock400_4.clq,0.85,102,1000,1.414,30,10,1000,0.85,102.00,102,0.8374,0.8412,60.48,60.36,60.60,2,2
6,p_hat700-1.clq,0.85,19,1000,1.414,30,10,1000,0.85,19.00,19,0.8099,0.8187,60.02,60.02,60.02,2,2
6,p_hat700-2.clq,0.85,223,1000,1.414,30,10,1000,0.85,223.00,223,0.8501,0.8501,0.28,0.28,0.28,0,2
6,p_hat700-3.clq,0.85,430,1000,1.414,30,10,1000,0.85,430.00,430,0.8502,0.8504,0.42,0.42,0.42,0,2
6,p_hat1500-2.clq,0.85,487,1000,1.414,30,10,1000,0.85,487.00,487,0.8501,0.8501,2.51,2.50,2.52,0,2
6,p_hat1500-3.clq,0.85,943,1000,1.414,30,10,1000,0.85,943.00,943,0.8500,0.8500,3.95,3.95,3.95,0,2
6,keller5.clq,0.85,286,1000,1.414,30,10,1000,0.85,286.00,286,0.8483,0.8487,63.56,61.98,65.15,2,2
6,p_hat300-2.clq,0.95,41,1000,1.414,30,10,1000,0.85,41.00,41,0.9500,0.9500,0.87,0.03,1.71,0,2
6,brock200_2.clq,0.95,13,1000,1.414,30,10,1000,0.85,13.00,13,0.9231,0.9231,60.04,60.00,60.07,2,2
6,hamming8-4.clq,0.95,17,1000,1.414,30,10,1000,0.85,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
6,keller4.clq,0.95,15,1000,1.414,30,10,1000,0.85,15.00,15,0.9524,0.9524,7.58,5.79,9.38,0,2
6,brock200_4.clq,0.95,21,1000,1.414,30,10,1000,0.85,21.00,21,0.9524,0.9524,6.01,5.29,6.72,0,2
6,p_hat1500-3.clq,0.95,351,1000,1.414,30,10,1000,0.85,351.00,351,0.9500,0.9500,2.24,2.20,2.29,0,2
6,keller5.clq,0.95,47,1000,1.414,30,10,1000,0.85,47.00,47,0.9246,0.9315,64.84,63.25,66.43,2,2
7,brock200_4.clq,0.85,39,1000,1.414,30,30,1000,1.0,39.00,39,0.8516,0.8529,3.43,1.91,4.94,0,2
7,p_hat300-3.clq,0.85,180,1000,1.414,30,30,1000,1.0,180.00,180,0.8502,0.8503,0.04,0.04,0.05,0,2
7,brock400_2.clq,0.85,100,1000,1.414,30,30,1000,1.0,100.00,100,0.8468,0.8469,60.63,60.50,60.76,2,2
7,brock400_4.clq,0.85,102,1000,1.414,30,30,1000,1.0,102.00,102,0.8477,0.8482,60.84,60.36,61.31,2,2
7,p_hat700-1.clq,0.85,19,1000,1.414,30,30,1000,1.0,19.00,19,0.8304,0.8538,46.57,33.12,60.02,1,2
7,p_hat700-2.clq,0.85,223,1000,1.414,30,30,1000,1.0,223.00,223,0.8501,0.8501,0.28,0.28,0.28,0,2
7,p_hat700-3.clq,0.85,430,1000,1.414,30,30,1000,1.0,430.00,430,0.8502,0.8504,0.44,0.42,0.47,0,2
7,p_hat1500-2.clq,0.85,487,1000,1.414,30,30,1000,1.0,487.00,487,0.8501,0.8501,2.51,2.48,2.53,0,2
7,p_hat1500-3.clq,0.85,943,1000,1.414,30,30,1000,1.0,943.00,943,0.8500,0.8500,3.97,3.97,3.97,0,2
7,keller5.clq,0.85,286,1000,1.414,30,30,1000,1.0,286.00,286,0.8493,0.8493,61.19,60.06,62.31,2,2
7,p_hat300-2.clq,0.95,41,1000,1.414,30,30,1000,1.0,41.00,41,0.9500,0.9500,3.85,0.04,7.67,0,2
7,brock200_2.clq,0.95,13,1000,1.414,30,30,1000,1.0,13.00,13,0.9615,0.9615,34.32,10.03,58.62,0,2
7,hamming8-4.clq,0.95,17,1000,1.414,30,30,1000,1.0,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
7,keller4.clq,0.95,15,1000,1.414,30,30,1000,1.0,15.00,15,0.9619,0.9619,6.87,5.12,8.63,0,2
7,brock200_4.clq,0.95,21,1000,1.414,30,30,1000,1.0,21.00,21,0.9548,0.9571,11.88,0.91,22.85,0,2
7,p_hat1500-3.clq,0.95,351,1000,1.414,30,30,1000,1.0,351.00,351,0.9500,0.9500,2.25,2.20,2.30,0,2
7,keller5.clq,0.95,47,1000,1.414,30,30,1000,1.0,47.00,47,0.9463,0.9463,65.25,65.19,65.31,2,2
8,brock200_4.clq,0.85,39,1000,1.414,30,30,1000,0.85,39.00,39,0.8516,0.8516,2.25,1.19,3.31,0,2
8,p_hat300-3.clq,0.85,180,1000,1.414,30,30,1000,0.85,180.00,180,0.8502,0.8503,0.04,0.04,0.04,0,2
8,brock400_2.clq,0.85,100,1000,1.414,30,30,1000,0.85,100.00,100,0.8477,0.8501,52.97,44.94,61.01,1,2
8,brock400_4.clq,0.85,102,1000,1.414,30,30,1000,0.85,102.00,102,0.8483,0.8488,60.50,60.09,60.91,2,2
8,p_hat700-1.clq,0.85,19,1000,1.414,30,30,1000,0.85,19.00,19,0.8070,0.8187,60.02,60.02,60.02,2,2
8,p_hat700-2.clq,0.85,223,1000,1.414,30,30,1000,0.85,223.00,223,0.8501,0.8501,0.28,0.28,0.28,0,2
8,p_hat700-3.clq,0.85,430,1000,1.414,30,30,1000,0.85,430.00,430,0.8502,0.8504,0.46,0.42,0.49,0,2
8,p_hat1500-2.clq,0.85,487,1000,1.414,30,30,1000,0.85,487.00,487,0.8501,0.8501,2.46,2.44,2.48,0,2
8,p_hat1500-3.clq,0.85,943,1000,1.414,30,30,1000,0.85,943.00,943,0.8500,0.8500,3.96,3.96,3.97,0,2
8,keller5.clq,0.85,286,1000,1.414,30,30,1000,0.85,286.00,286,0.8493,0.8493,65.80,60.51,71.08,2,2
8,p_hat300-2.clq,0.95,41,1000,1.414,30,30,1000,0.85,41.00,41,0.9500,0.9500,1.37,0.04,2.71,0,2
8,brock200_2.clq,0.95,13,1000,1.414,30,30,1000,0.85,13.00,13,0.9615,0.9615,10.29,6.44,14.14,0,2
8,hamming8-4.clq,0.95,17,1000,1.414,30,30,1000,0.85,17.00,17,0.9559,0.9559,0.01,0.01,0.01,0,2
8,keller4.clq,0.95,15,1000,1.414,30,30,1000,0.85,15.00,15,0.9571,0.9619,3.64,2.67,4.60,0,2
8,brock200_4.clq,0.95,21,1000,1.414,30,30,1000,0.85,21.00,21,0.9524,0.9524,6.23,5.75,6.71,0,2
8,p_hat1500-3.clq,0.95,351,1000,1.414,30,30,1000,0.85,351.00,351,0.9500,0.9500,2.20,2.16,2.24,0,2
